Spanish,English
capaz,able
acerca de,about
arriba,above
aceptar,accept
al otro lado de,across
acción,action
actor,actor
agregado,added
admitir,admit
adulto,adult
después,after
de nuevo,again
agente,agent
aceptar,agree
adelante,ahead
alarma,alarm
vivo,alive
permitir,allow
solo,alone
a lo largo de,along
alterar,alter
siempre,always
entre,among
ángel,angel
enojo,anger
ángulo,angle
animal,animal
anual,annual
respuesta,answer
aparte,apart
manzana,apple
aplicar,apply
argumentar,argue
arena,arena
armado,armed
armadura,armor
ejército,army
formación,array
aparte,aside
preguntó,asked
activo,asset
asignar,assign
asistir,assist
asumir,assume
ataque,attack
intentar,attempt
asistir,attend
autor,author
otoño,autumn
evitar,avoid
otorgar,award
consciente,aware
impresionante,awesome
respaldado,backed
apenas,barely
basado,based
básico,basic
base,basis
playa,beach
comenzar,begin
ser,being
abajo,below
banco,bench
más allá de,beyond
nacimiento,birth
negro,black
cuchilla,blade
culpa,blame
blanco,blank
bendecir,bless
ciego,blind
bloquear,block
sangre,blood
junta,board
prima,bonus
libros,books
aumentar,boost
atado,bound
cerebro,brain
marca,brand
corajudo,brave
pan,bread
romper,break
breve,brief
traer,bring
en bancarrota,broke
marrón,brown
construir,build
construido,built
explosión,burst
cable,cable
cabina,cabin
cámara,camera
campus,campus
Cancelar,cancel
vela,candle
carrera,career
cariñoso,caring
llevar,carry
atrapar,catch
causa,cause
cesar,cease
cadena,chain
silla,chair
oportunidad,chance
cambiar,change
cargar,charge
encanto,charm
cuadro,chart
perseguir,chase
controlar,check
mejilla,cheek
ajedrez,chess
pecho,chest
jefe,chief
niño,child
elección,choice
elegir,choose
iglesia,church
cívico,civic
civil,civil
afirmar,claim
clase,class
limpio,clean
claro,clear
oficinista,clerk
hacer clic,click
trepar,climb
reloj,clock
cerca,close
paño,cloth
nube,cloud
entrenador,coach
costa,coast
color,color
confortable,comfy
cómic,comic
próximo,coming
comprometerse,commit
común,common
cumplir,comply
confirmar,confirm
conectar,connect
consentir,consent
control,control
galleta,cookie
esquina,corner
costoso,costly
condado,county
pareja,couple
curso,course
crear,create
crédito,credit
crisis,crisis
costumbre,custom
daño,damage
peligro,danger
debate,debate
decidir,decide
defender,defend
definir,define
grado,degree
demanda,demand
depender,depend
diputado,deputy
diseño,design
deseo,desire
detalle,detail
detectar,detect
dispositivo,device
dedicar,devote
diferir de,differ
comida,dining
directo,direct
doctor,doctor
dólar,dollar
dominio,domain
donar,donate
doble,double
borrador,draft
dragón,dragon
conducido,driven
conductor,driver
durante,during
ansioso,eager
temprano,early
ganado,earned
más fácil,easier
comiendo,eating
editor,editor
efecto,effect
esfuerzo,effort
octavo,eighth
cualquiera,either
mayor,elder
once,eleven
embarcarse,embark
encarnar,embody
surgir,emerge
emplear,employ
permitir,enable
comprometer,engage
motor,engine
suficiente,enough
asegurar,ensure
completo,entire
equidad,equity
escapar,escape
bienes,estate
ética,ethics
étnico,ethnic
igualmente,evenly
evento,event
exacto,exact
superar,exceed
excepto,except
exceso,excess
disculpar,excuse
eximir,exempt
existir,exist
expandir,expand
esperar,expect
experto,expert
exportar,export
extender,extend
medida,extent
tela,fabric
frente a,facing
factor,factor
fallido,failed
equitativamente,fairly
caído,fallen
familia,family
famoso,famous
agricultor,farmer
más rápido,faster
padre,father
compañero,fellow
femenino,female
cifra,figure
presentación,filing
dedo,finger
finalizar,finish
disparo,firing
firmemente,firmly
fiscal,fiscal
vuelo,flight
flor,flower
seguir,follow
forzado,forced
bosque,forest
olvidar,forget
formal,formal
formato,format
anterior,former
alentar,foster
luchó,fought
cuatro,fourth
con libertad,freely
amigo,friend
futuro,future
jardín,garden
recolectar,gather
género,gender
amable,gentle
suavemente,gently
alemán,german
gigante,giant
dado,given
global,global
dorado,golden
gobernar,govern
agraciado,graced
grava,gravel
gravedad,gravit
excelente,great
suelo,ground
crecimiento,growth
guitarra,guitar
manejar,handle
suceder,happen
puerto,harbor
difícilmente,hardly
salud,health
calentador,heater
altura,height
oculto,hidden
más alto,higher
honesto,honest
honor,honor
horror,horror
caballo,horse
humano,human
humilde,humble
hambre,hunger
cazador,hunter
apurarse,hurry
ignorar,ignore
impacto,impact
importar,import
ingreso,income
en efecto,indeed
niño,infant
informar,inform
lesión,injury
interno,inner
insistir,insist
invertir,invest
invitar,invite
isla,island
sí mismo,itself
chaqueta,jacket
jerga,jargon
jersey,jersey
unido,joined
articulación,joint
selva,jungle
júnior,junior
guardián,keeper
núcleo,kernel
pava,kettle
golpeado,kicked
amable,kindly
caballero,knight
nudoso,knotty
conocido,known
faltaba,lacked
escalera,ladder
aterrizaje,landing
más grande,larger
duró,lasted
el último,latest
último,latter
lanzamiento,launch
legal,lawful
líder,leader
liga,league
aprender,learn
legado,legacy
longitud,length
lección,lesson
carta,letter
responsable,liable
liberal,liberal
levantado,lifted
luces,lights
probable,likely
vinculado,linked
líquido,liquid
escuchar,listen
dinámico,lively
viviendo,living
localizar,locate
solitario,lonely
más extenso,longer
hermoso,lovely
lujo,luxury
imán,magnet
manera,manner
margen,margin
marina,marine
marcador,marker
maestro,master
asunto,matter
medio,medium
mental,mental
meramente,merely
método,method
medio,middle
poderoso,mighty
minería,mining
minuto,minute
miseria,misery
moderno,modern
modesto,modest
momento,moment
mono,monkey
mortal,mortal
principalmente,mostly
madre,mother
movimiento,motion
emocionante,moving
asesinato,murder
museo,museum
mutual,mutual
nación,nation
nativo,native
naturaleza,nature
cercano,nearby
cerca de,nearly
nervios,nerves
nunca,never
el más nuevo,newest
bien,nicely
nadie,nobody
normal,normal
aviso,notice
noción,notion
principiante,novice
número,number
objeto,object
obtener,obtain
ocupar,occupy
oficina,office
en línea,online
oponerse a,oppose
opción,option
origen,origin
producción,output
demasiado,overly
lleno,packed
palacio,palace
padre,parent
parroquia,parish
paridad,parity
en parte,partly
patentar,patent
patrulla,patrol
gente,people
permiso,permit
persona,person
frase,phrase
escogido,picked
pilar,pillar
pistola,pistol
planeta,planet
infinidad,plenty
bolsillo,pocket
poesía,poetry
policía,police
política,policy
preferir,prefer
bonito,pretty
sacerdote,priest
príncipe,prince
prisión,prison
ganancia,profit
adecuado,proper
público,public
puramente,purely
buscar,pursue
aumentó,raised
aleatorio,random
casi nunca,rarely
clasificación,rating
lector,reader
razón,reason
recordar,recall
reciente,recent
receta,recipe
registro,record
reducir,reduce
rechazar,refuse
respecto,regard
arrepentirse,regret
rechazar,reject
relatar,relate
alivio,relief
permanecer,remain
recordar,remind
remoto,remote
eliminación,removal
reparar,repair
repetir,repeat
informe,report
rescate,rescue
resistir,resist
complejo,resort
resultado,result
devolver,return
revelar,reveal
revisar,review
premio,reward
equitación,riding
creciente,rising
rival,rival
robusto,robust
cohete,rocket
bruto,rough
redondo,round
decisión,ruling
corredor,runner
sagrado,sacred
salario,salary
muestra,sample
ahorro,saving
escuela,school
pantalla,screen
buscar,search
estación,season
segundo,second
secreto,secret
sector,sector
seguro,secure
vidente,seeing
seleccionar,select
sénior,senior
serie,series
servidor,server
asentarse,settle
severo,severe
sombra,shadow
compartido,shared
afilado,sharp
refugio,shelter
corto,short
debería,should
señal,signal
silencioso,silent
plata,silver
simple,simple
soltero,single
hermana,sister
habilidades,skills
leve,slight
liso,smooth
social,social
únicamente,solely
fuente,source
discurso,speech
espíritu,spirit
estable,stable
estatua,statue
estado,status
estable,steady
calle,street
fuerte,strong
estudio,studio
entregar,submit
sutil,subtle
sufrir,suffer
verano,summer
cumbre,summit
suministrar,supply
seguramente,surely
encuesta,survey
sostener,sustain
símbolo,symbol
sistema,system
abordar,tackle
talento,talent
objetivo,target
enseñó,taught
templo,temple
licitación,tender
tenis,tennis
gracias,thanks
teoría,theory
treinta,thirty
aunque,though
amenaza,threat
garganta,throat
trono,throne
arrojado,thrown
boleto,ticket
oportuno,timely
momento,timing
tejido,tissue
hacia,toward
tragedia,tragedy
trauma,trauma
viajar,travel
tratado,treaty
tribal,tribal
trofeo,trophy
problema,trouble
realmente,truly
intentando,trying
túnel,tunnel
pavo,turkey
doce,twelve
veinte,twenty
incapaz,unable
injusto,unfair
único,unique
unido,united
a diferencia de,unlike
descargar,unload
actualizar,update
hacia arriba,upward
útil,useful
vacante,vacant
valle,valley
desaparecer,vanish
proveedor,vendor
verbal,verbal
verificar,verify
víctima,victim
vencedor,victor
visto,viewed
espectador,viewer
aldea,village
violín,violin
virtud,virtue
visión,vision
visual,visual
volumen,volume
esperó,waited
deambular,wander
buscado,wanted
guerrero,warrior
debilitar,weaken
poder,wealth
semanalmente,weekly
peso,weight
bienvenido,welcom
totalmente,wholly
ampliamente,widely
ventana,window
ganador,winner
invierno,winter
sabiduría,wisdom
dentro,within
de madera,wooden
obrero,worker
valioso,worthy
escritor,writer
amarillo,yellow